Grapheme	IPA	Languages
^licht (1)$	l ɪ x t	Dutch
^licht (2)$	l ɪ x t	Dutch
^licht (3)$	l ɪ x t	Dutch
^lied$	l iː t	Dutch
^liegen$	l iː ɣ ə	Dutch
^lijk$	l ɛi k	Dutch
^lijken$	l ɛi k ə	Dutch
^lijm$	l ɛi m	Dutch
^lijn$	l ɛi n	Dutch
^likken$	l ɪ k ə	Dutch
^links$	l ɪ ŋ k s	Dutch
^linnen$	l ɪ n ə	Dutch
^lip$	l ɪ p	Dutch
^litteken$	l ɪ t eː k ə	Dutch
^lof$	l ɔ f	Dutch
^long$	l ɔ ŋ	Dutch
^lood$	l oː t	Dutch
^looien$	l oː j ə	Dutch
^loon$	l oː n	Dutch
^lopen$	l oː p ə	Dutch
^loslaten$	l ɔ s l aː t ə	Dutch
^losmaken$	l ɔ s m aː k ə	Dutch
^lucht$	l ʏ x t	Dutch
^lucifer$	l yː s iː f ɛ r	Dutch
^lui$	l œy	Dutch
^luid$	l œy t	Dutch
^luis$	l œy s	Dutch
^luisteren$	l œy s t ə r ə	Dutch
^lunch$	l ʏ n ʃ	Dutch
^maag$	m aː x	Dutch
^maaien$	m aː j ə	Dutch
^maaltijd$	m aː l t ɛi t	Dutch
^maan$	m aː n	Dutch
^maand$	m aː n t	Dutch
^maandag$	m aː n d ɑ x	Dutch
^machine$	m ɑ ʃ iː n ə	Dutch
^maken$	m aː k ə	Dutch
^malen$	m aː l ə	Dutch
^man (1)$	m ɑ n	Dutch
^man (2)$	m ɑ n	Dutch
^mand$	m ɑ n t	Dutch
^manier$	m aː n iː r	Dutch
^maniok$	m aː n iː j ɔ k	Dutch
^maniokbrood$	m aː n iː j ɔ k b r oː t	Dutch
^mannelijk$	m ɑ n ə l ə k	Dutch
^mannenhuis$	m ɑ n ə h œy s	Dutch
^mannetjes-$	m ɑ n ə t j ə s	Dutch
^mantel$	m ɑ n t ə l	Dutch
^markt$	m ɑ r k t	Dutch
^mast$	m ɑ s t	Dutch
^mat$	m ɑ t	Dutch
^matras$	m ɑ t r ɑ s	Dutch
^maïs$	m ɑ j s	Dutch
^mede$	m eː d ə	Dutch
^medelijden$	m eː d ə l ɛi d ə	Dutch
^medicijn$	m eː d iː s ɛi n	Dutch
^meel$	m eː l	Dutch
^meer (1)$	m eː r	Dutch
^meer (2)$	m eː r	Dutch
^meester$	m eː s t ə r	Dutch
^meeuw$	m eː ʋ	Dutch
^meineed$	m ɛi n eː t	Dutch
^meisje$	m ɛi s j ə	Dutch
^melk$	m ɛ l k	Dutch
^melken$	m ɛ l k ə	Dutch
^menen$	m eː n ə	Dutch
^menigte$	m eː n ə x t ə	Dutch
^mens$	m ɛ n s	Dutch
^merrie$	m ɛ r iː	Dutch
^mes$	m ɛ s	Dutch
^mestvork$	m ɛ s t f ɔ r k	Dutch
^met$	m ɛ t	Dutch
^meten$	m eː t ə	Dutch
^metselaar$	m ɛ t s ə l aː r	Dutch
^middag (1)$	m ɪ d ɑ x	Dutch
^middag (2)$	m ɪ d ɑ x	Dutch
^middageten$	m ɪ d ɑ ɣ eː t ə	Dutch
^middel$	m ɪ d ə l	Dutch
^midden$	m ɪ d ə	Dutch
^mier$	m iː r	Dutch
^miereneter$	m iː r ə eː t ə r	Dutch
^milt$	m ɪ l t	Dutch
^minister$	m iː n ɪ s t ə r	Dutch
^misdaad$	m ɪ z d aː t	Dutch
^missen$	m ɪ s ə	Dutch
^mist$	m ɪ s t	Dutch
^modder$	m ɔ d ə r	Dutch
^moe$	m uː	Dutch
^moeder$	m uː d ə r	Dutch
^moeilijk$	m uː j l ə k	Dutch
^moeras$	m uː r ɑ s	Dutch
^molen$	m oː l ə	Dutch
^mompelen$	m ɔ m p ə l ə	Dutch
^mond$	m ɔ n t	Dutch
^mooi$	m oː j	Dutch
^moord$	m oː r t	Dutch
^morgen$	m ɔ r ɣ ə	Dutch
^mortel$	m ɔ r t ə l	Dutch
^moskee$	m ɔ s k eː	Dutch
^motor$	m oː t ɔ r	Dutch
^motorfiets$	m oː t ɔ r f iː t s	Dutch
^mug$	m ʏ x	Dutch
^muildier$	m œy l d iː r	Dutch
^muilezel$	m œy l eː z ə l	Dutch
^muis$	m œy s	Dutch
^munt$	m ʏ n t	Dutch
^muskiet$	m ʏ s k iː t	Dutch
^muts$	m ʏ t s	Dutch
^muur$	m yː r	Dutch
^muziek$	m yː z iː k	Dutch
^na$	n aː	Dutch
^naaien$	n aː j ə	Dutch
^naakt$	n aː k t	Dutch
^naald$	n aː l t	Dutch
^naam$	n aː m	Dutch
^naar beneden$	n aː r # b ə n eː d ə	Dutch
^naar beneden gaan$	n aː r # b ə n eː d ə # x aː n	Dutch
^naar boven gaan$	n aː r # b oː v ə # x aː n	Dutch
^naar huis gaan$	n aː r # h œy s # x aː n	Dutch
^naast$	n aː s t	Dutch
^nacht$	n ɑ x t	Dutch
^naderen$	n aː d ə r ə	Dutch
^nadoen$	n aː d uː n	Dutch
^nagel (1)$	n aː ɣ ə l	Dutch
^nagel (2)$	n aː ɣ ə l	Dutch
^najaar$	n aː j aː r	Dutch
^nakomelingen$	n aː k oː m ə l ɪ ŋ ə	Dutch
^nat$	n ɑ t	Dutch
^nauw$	n ɑu ʋ	Dutch
^navel$	n aː v ə l	Dutch
^nazaten$	n aː z aː t ə	Dutch
^nederlaag$	n eː d ə r l aː x	Dutch
^nee$	n eː	Dutch
^neef$	n eː f	Dutch
^neet$	n eː t	Dutch
^negen$	n eː ɣ ə	Dutch
^nek$	n ɛ k	Dutch
^nemen$	n eː m ə	Dutch
^nest$	n ɛ s t	Dutch
^netel$	n eː t ə l	Dutch
^nettas$	n ɛ t # t ɑ s	Dutch
^neus$	n øː s	Dutch
^neusvleugel$	n øː s f l øː ɣ ə l	Dutch
^nicht$	n ɪ x t	Dutch
^nier$	n iː r	Dutch
^niet$	n iː t	Dutch
^niets$	n iː t s	Dutch
^nieuw$	n iː ʋ	Dutch
^niezen$	n iː z ə	Dutch
^noemen$	n uː m ə	Dutch
^nok$	n ɔ k	Dutch
^noodzaak$	n oː t s aː k	Dutch
^nooit$	n oː j t	Dutch
^noorden$	n oː r d ə	Dutch
^noorderlicht$	n oː r d ə r l ɪ x t	Dutch
^noot$	n oː t	Dutch
^nu$	n yː	Dutch
^nul$	n ʏ l	Dutch
^nummerplaat$	n ʏ m ə r p l aː t	Dutch
^oceaan$	oː s eː j aː n	Dutch
^ochtend$	ɔ x t ə n t	Dutch
^ochtendgloren$	ɔ x t ə t x l oː r ə	Dutch
^oever$	uː v ə r	Dutch
^of$	ɔ f	Dutch
^offer$	ɔ f ə r	Dutch
^oksel$	ɔ k s ə l	Dutch
^olie$	oː l iː	Dutch
^olifant$	oː l iː f ɑ n t	Dutch
^olijf$	oː l ɛi f	Dutch
^omdat$	ɔ m d ɑ t	Dutch
^omdraaien$	ɔ m d r aː j ə	Dutch
^omhelzen$	ɔ m h ɛ l z ə	Dutch
^omhoog$	ɔ m h oː x	Dutch
^omlaag$	ɔ m l aː x	Dutch
^onder$	ɔ n d ə r	Dutch
^onderwijzen$	ɔ n d ə r ʋ ɛi z ə	Dutch
^ondiep$	ɔ n d iː p	Dutch
^onduidelijk$	ɔ n d œy d ə l ə k	Dutch
^ongeluk$	ɔ ŋ ɣ ə l ʏ k	Dutch
^onmiddellijk$	ɔ n m ɪ d ə l ə k	Dutch
^onrijp$	ɔ n r ɛi p	Dutch
^onschuldig$	ɔ n s x ʏ l d ə x	Dutch
^ontbijt$	ɔ n d b ɛi t	Dutch
^ontginnen$	ɔ n t x ɪ n ə	Dutch
^ontkennen$	ɔ n t k ɛ n ə	Dutch
^ontmoeten$	ɔ n t m uː t ə	Dutch
^oog$	oː x	Dutch
^ooghaar$	oː x h aː r	Dutch
^ooglid$	oː ɣ l ɪ t	Dutch
^oogst$	oː x s t	Dutch
^ooi$	oː j	Dutch
^oom$	oː m	Dutch
^oor$	oː r	Dutch
^oorbel$	oː r b ɛ l	Dutch
^oorlel$	oː r l ɛ l	Dutch
^oorlog$	oː r l ɔ x	Dutch
^oorsmeer$	oː r s m eː r	Dutch
^oorzaak$	oː r z aː k	Dutch
^oosten$	oː s t ə	Dutch
^op$	ɔ p	Dutch
^opdragen$	ɔ b d r aː ɣ ə	Dutch
^openen$	oː p ə n ə	Dutch
^ophangen$	ɔ p h ɑ ŋ ə	Dutch
^ophouden$	ɔ p h ɑu d ə	Dutch
^opkomen$	ɔ p k oː m ə	Dutch
^opnieuw$	ɔ p n iː ʋ	Dutch
^opossum$	oː p ɔ s ʏ m	Dutch
^opscheppen$	ɔ p s x ɛ p ə	Dutch
^opstapelen$	ɔ p s t aː p ə l ə	Dutch
^optillen$	ɔ p t ɪ l ə	Dutch
^os$	ɔ s	Dutch
^oud$	ɑu t	Dutch
^ouders$	ɑu d ə r s	Dutch
^outrigger$	ɑu t r i ɣ ə r	Dutch
^oven$	oː v ə	Dutch
^overblijfels$	???	Dutch
^overmorgen$	oː v ə r m ɔ r ɣ ə	Dutch
^overspel$	oː v ə r s p ɛ l	Dutch
^overwinning$	oː v ə r ʋ ɪ n ɪ ŋ	Dutch
^paal$	p aː l	Dutch
^paar$	p aː r	Dutch
^paard$	p aː r t	Dutch
^pad$	p ɑ t	Dutch
^paddenstoel$	p ɑ d ə s t uː l	Dutch
^paling$	p aː l ɪ ŋ	Dutch
^palm (1)$	p ɑ l m	Dutch
^palm (2)$	p ɑ l m	Dutch
^pan$	p ɑ n	Dutch
^papegaai$	p ɑ p ə ɣ aː j	Dutch
^papier$	p aː p iː r	Dutch
^pech$	p ɛ x	Dutch
^peddel$	p ɛ d ə l	Dutch
^pellen$	p ɛ l ə	Dutch
^pen$	p ɛ n	Dutch
^penis$	p eː n ə s	Dutch
^peper$	p eː p ə r	Dutch
^persoon$	p ə r s oː n	Dutch
^pijl$	p ɛi l	Dutch
^pijn$	p ɛi n	Dutch
^pijnboom$	p ɛi m b oː m	Dutch
^pijp$	p ɛi p	Dutch
^pil$	p ɪ l	Dutch
^pin$	p ɪ n	Dutch
^pissen$	p ɪ s ə	Dutch
^plaats$	p l aː t s	Dutch
^plank$	p l ɑ ŋ k	Dutch
^plant$	p l ɛ n t	Dutch
^planten$	p l ɑ n t ə	Dutch
^plassen$	p l ɑ s ə	Dutch
^plastic$	p l ɛ s t ɪ k	Dutch
^plat$	p l ɑ t	Dutch
^ploegen$	p l uː ɣ ə	Dutch
^pluimvee$	p l œy m v eː	Dutch
^poepen$	p uː p ə	Dutch
^politie$	p oː l iː t s iː	Dutch
^pols$	p ɔ l s	Dutch
^pompoen$	p ɔ m p uː n	Dutch
^poncho$	p ɔ n ʃ oː	Dutch
^poort$	p oː r t	Dutch
^post (1)$	p ɔ s t	Dutch
^post (2)$	p ɔ s t	Dutch
^postzegel$	p ɔ s t s eː ɣ ə l	Dutch
^pot$	p ɔ t	Dutch
^pottenbakker$	p ɔ t ə b ɑ k ə r	Dutch
^preken$	p r eː k ə	Dutch
^president$	p r eː z iː d ɛ n t	Dutch
^priem$	p r iː m	Dutch
^priester$	p r iː s t ə r	Dutch
^prijs$	p r ɛi s	Dutch
^proberen$	p r oː b eː r ə	Dutch
^proeven$	p r uː v ə	Dutch
^prostituee$	p r ɔ s t iː t yː ʋ eː	Dutch
^pus$	p ʏ s	Dutch
^raam$	r aː m	Dutch
^raden$	r aː d ɛ n	Dutch
^radio$	r aː d iː j oː	Dutch
^ram$	r ɑ m	Dutch
^rand$	r ɑ n t	Dutch
^rat$	r ɑ t	Dutch
^ratel$	r aː t ə l	Dutch
^rauw$	r ɑu ʋ	Dutch
^recht$	r ɛ x t	Dutch
^rechtbank$	r ɛ ɣ d b ɑ ŋ k	Dutch
^rechter$	r ɛ x t ə r	Dutch
^rechts$	r ɛ x t s	Dutch
^rechtspreken$	r ɛ x t s p r eː k ə	Dutch
^redden$	r ɛ d ə	Dutch
^reden$	r eː d ə	Dutch
^regen$	r eː ɣ ə	Dutch
^regenboog$	r eː ɣ ə m b oː x	Dutch
^regeren$	r ə ɣ eː r ə	Dutch
^regering$	r ə ɣ eː r ɪ ŋ	Dutch
^reiger$	r ɛi ɣ ə r	Dutch
^rekening$	r eː k ə n ɪ ŋ	Dutch
^remmen$	r ɛ m ə	Dutch
^rendier$	r ɛ n d iː r	Dutch
^rennen$	r ɛ n ə	Dutch
^resten$	r ɛ s t ə	Dutch
^rib$	r ɪ p	Dutch
^riem$	r iː m	Dutch
^rif$	r ɪ f	Dutch
^rijbewijs$	r ɛi b ə ʋ ɛi s	Dutch
^rijden$	r ɛi d ə	Dutch
^rijk$	r ɛi k	Dutch
^rijp$	r ɛi p	Dutch
^rijst$	r ɛi s t	Dutch
^rijstveld$	r ɛi s t f ɛ l t	Dutch
^rillen$	r ɪ l ə	Dutch
^rimpelig$	r ɪ m p ə l ə x	Dutch
^ring$	r ɪ ŋ	Dutch
^rivier$	r iː v iː r	Dutch
^rode peper$	r oː d ə # p eː p ə r	Dutch
^roeien$	r uː j ə	Dutch
^roer$	r uː r	Dutch
^roeren$	r uː r ə	Dutch
^rog$	r ɔ x	Dutch
^rogge$	r ɔ ɣ ə	Dutch
^rok$	r ɔ k	Dutch
^roken$	r oː k ə	Dutch
^rollen$	r ɔ l ə	Dutch
^rond$	r ɔ n t	Dutch
^rood$	r oː t	Dutch
^rook$	r oː k	Dutch
^roos$	r oː s	Dutch
^rot$	r ɔ t	Dutch
^rots$	r ɔ t s	Dutch
^rug$	r ʏ x	Dutch
^ruggengraat$	r ʏ ɣ ə x r aː t	Dutch
^ruiken$	r œy k ə	Dutch
^ruilen$	r œy l ə	Dutch
^rund$	r ʏ n t	Dutch
^rusten$	r ʏ s t ə	Dutch
^rustig$	r ʏ s t ə x	Dutch
^ruw$	r yː ʋ	Dutch
^ruzie$	r yː z iː	Dutch
^salaris$	s aː l aː r ə s	Dutch
^samenvoegen$	s aː m ə n v uː ɣ ə	Dutch
^samenzwering$	s aː m ə n z ʋ eː r ɪ ŋ	Dutch
^sap$	s ɑ p	Dutch
^savanne$	s aː v ɑ n ə	Dutch
^schaal$	s x aː l	Dutch
^schaamhaar$	s x aː m h aː r	Dutch
^schaamspleet$	s x aː m s p l eː t	Dutch
^schaamte$	s x aː m t ə	Dutch
^schaap$	s x aː p	Dutch
^schaar$	s x aː r	Dutch
^schaduw$	s x aː d yː ʋ	Dutch
^schede$	s x eː d ə	Dutch
^schedel$	s x eː d ə l	Dutch
^scheermes$	s x eː r m ɛ s	Dutch
^scheiden$	s x ɛi d ə	Dutch
^scheiding$	s x ɛi d ɪ ŋ	Dutch
^schelp$	s x ɛ l p	Dutch
^schenken$	s x ɛ ŋ k ə	Dutch
^scherp$	s x ɛ r p	Dutch
^scheuren$	s x øː r ə	Dutch
^schieten$	s x iː t ə	Dutch
^schijnen$	s x ɛi n ə	Dutch
^schijten$	s x ɛi t ə	Dutch
^schild$	s x ɪ l t	Dutch
^schilderen$	s x ɪ l d ə r ə	Dutch
^schildpad$	s x ɪ l t p ɑ t	Dutch
^schillen$	s x ɪ l ə	Dutch
^schip$	s x ɪ p	Dutch
^schoen$	s x uː n	Dutch
^schoenmaker$	s x uː n m aː k ə r	Dutch
^schoffel$	s x ɔ f ə l	Dutch
^school$	s x oː l	Dutch
^schoon$	s x oː n	Dutch
^schoonbroer$	s x oː m b r uː r	Dutch
^schoondochter$	s x oː n d ɔ x t ə r	Dutch
^schoonkind$	s x oː n k ɪ n t	Dutch
^schoonmoeder$	s x oː n m uː d ə r	Dutch
^schoonouders$	s x oː n ɑu d ə r s	Dutch
^schoonvader$	s x oː n v aː d ə r	Dutch
^schoonzoon$	s x oː n z oː n	Dutch
^schoonzuster$	s x oː n z ʏ s t ə r	Dutch
^schoorsteen$	s x oː r s t eː n	Dutch
^schop$	s x ɔ p	Dutch
^schorpioen$	s x ɔ r p iː j uː n	Dutch
^schotel$	s x oː t ə l	Dutch
^schouder$	s x ɑu d ə r	Dutch
^schouderblad$	s x ɑu d ə r b l ɑ t	Dutch
^schrappen$	s x r ɑ p ə	Dutch
^schreeuwen$	s x r eː ʋ ə	Dutch
^schrijven$	s x r ɛi v ə	Dutch
^schroef$	s x r uː f	Dutch
^schroevendraaier$	s x r uː v ə d r aː j ə r	Dutch
^schub$	s x ʏ p	Dutch
^schudden$	s x ʏ d ə	Dutch
^schuim$	s x œy m	Dutch
^schuld$	s x ʏ l t	Dutch
^schuldig$	s x ʏ l d ə x	Dutch
^schuldig zijn$	s x ʏ l d ə x # z ɛi n	Dutch
^seizoen$	s ɛi z uː n	Dutch
^seks hebben$	s ɛ k s # h ɛ b ə	Dutch
^sieraad$	s iː r aː t	Dutch
^sigaret$	s iː ɣ aː r ɛ t	Dutch
^sintel$	s ɪ n t ə l	Dutch
^slaaf$	s l aː f	Dutch
^slaan$	s l aː n	Dutch
^slaap$	s l aː p	Dutch
^slak$	s l ɑ k	Dutch
^slang$	s l ɛ ŋ	Dutch
^slapen$	s l aː p ə	Dutch
^sle(d)e$	s l eː d ə	Dutch
^slecht$	s l ɛ x t	Dutch
^sleutel$	s l øː t ə l	Dutch
^sleutelbeen$	s l øː t ə l b eː n	Dutch
^slijpsteen$	s l ɛi p s t eː n	Dutch
^slim$	s l ɪ m	Dutch
^sloot$	s l oː t	Dutch
^slot$	s l ɔ t	Dutch
^sluier$	s l œy j ə r	Dutch
^sluiten$	s l œy t ə	Dutch
^smaken$	s m aː k ə	Dutch
^smeden$	s m eː d ə	Dutch
^smid$	s m ɪ t	Dutch
^sneeuw$	s n eː ʋ	Dutch
^sneeuwschoen$	s n eː ʋ s x uː n	Dutch
^snel$	s n ɛ l	Dutch
^snoep$	s n uː p	Dutch
^snot$	s n ɔ t	Dutch
^snurken$	s n ʏ r k ə	Dutch
^soep$	s uː p	Dutch
^sok$	s ɔ k	Dutch
^soldaat$	s ɔ l d aː t	Dutch
^soms$	s ɔ m s	Dutch
^sorghum$	s ɔ r ɣ ʏ m	Dutch
^spade$	s p aː d ə	Dutch
^spar$	s p ɑ r	Dutch
^spatten$	s p ɑ t ə	Dutch
^specie$	s p eː s iː	Dutch
^speer$	s p eː r	Dutch
^speld$	s p ɛ l t	Dutch
^spelen$	s p eː l ə	Dutch
^spiegel$	s p iː ɣ ə l	Dutch
^spijker$	s p ɛi k ə r	Dutch
^spijt hebben$	s p ɛi t # h ɛ b ə	Dutch
^spin$	s p ɪ n	Dutch
^spindel$	s p ɪ n d ə l	Dutch
^spinnen$	s p ɪ n ə	Dutch
^spits$	s p ɪ t s	Dutch
^splijten$	s p l ɛi t ə	Dutch
^spoedig$	s p uː d ə x	Dutch
^spook$	s p oː k	Dutch
^spreken$	s p r eː k ə	Dutch
^springen$	s p r ɪ ŋ ə	Dutch
^sprinkhaan$	s p r ɪ ŋ k h aː n	Dutch
^spugen$	s p yː ɣ ə	Dutch
^staan$	s t aː n	Dutch
^staart$	s t aː r t	Dutch
^stad$	s t ɑ t	Dutch
^stal$	s t ɑ l	Dutch
^stamelen$	s t aː m ə l ə	Dutch
^stamper$	s t ɑ m p ə r	Dutch
^standbeeld$	s t ɑ n d b eː l t	Dutch
^steen$	s t eː n	Dutch
^steenpuist$	s t eː m p œy s t	Dutch
^steken$	s t eː k ə	Dutch
^stelen$	s t eː l ə	Dutch
^stem$	s t ɛ m	Dutch
^ster$	s t ɛ r	Dutch
^sterk$	s t ɛ r k	Dutch
^sterven$	s t ɛ r v ə	Dutch
^stiefdochter$	s t iː v d ɔ x t ə r	Dutch
^stiefmoeder$	s t iː f m uː d ə r	Dutch
^stiefvader$	s t iː f aː d ə r	Dutch
^stiefzoon$	s t iː f s oː n	Dutch
^stier$	s t iː r	Dutch
^stil$	s t ɪ l	Dutch
^stinkend$	s t ɪ ŋ k ə n t	Dutch
^stoel$	s t uː l	Dutch
^stof (1)$	s t ɔ f	Dutch
^stof (2)$	s t ɔ f	Dutch
^stom$	s t ɔ m	Dutch
^stoom$	s t oː m	Dutch
^stoppen$	s t ɔ p ə	Dutch
^storm$	s t ɔ r m	Dutch
^stotteren$	s t ɔ t ə r ə	Dutch
^straat$	s t r aː t	Dutch
^straf$	s t r ɑ f	Dutch
^strijd$	s t r ɛi t	Dutch
^strijdbijl$	s t r ɛi d b ɛi l	Dutch
^strijden$	s t r ɛi d ə	Dutch
^strik$	s t r ɪ k	Dutch
^strodak$	s t r oː d ɑ k	Dutch
^stromen$	s t r oː m ə	Dutch
^stronk$	s t r ɔ ŋ k	Dutch
^stroom$	s t r oː m	Dutch
^studeren$	s t yː d eː r ə	Dutch
^stuk (1)$	s t ʏ k	Dutch
^stuk (2)$	s t ʏ k	Dutch
^sturen$	s t yː r ə	Dutch
^suiker$	s œy k ə r	Dutch
^suikerriet$	s œy k ə r iː t	Dutch
^taal$	t aː l	Dutch
^tabak$	t aː b ɑ k	Dutch
^tafel$	t aː f ə l	Dutch
^tak$	t ɑ k	Dutch
^tand$	t ɑ n t	Dutch
^tandvlees$	t ɑ n t f l eː s	Dutch
^tang$	t ɑ ŋ	Dutch
^tante$	t ɑ n t ə	Dutch
^tapijt$	t aː p ɛi t	Dutch
^tapir$	t aː p iː r	Dutch
^tarwe$	t ɑ r ʋ ə	Dutch
^tatoeëring$	t a t u eː r ɪ ŋ	Dutch
^te$	t ə	Dutch
^teek$	t eː k	Dutch
^teen$	t eː n	Dutch
^telefoon$	t eː l ə f oː n	Dutch
^televisie$	t eː l ə v iː z iː	Dutch
^tellen$	t ɛ l ə	Dutch
^tempel$	t ɛ m p ə l	Dutch
^tent$	t ɛ n t	Dutch
^tepel$	t eː p ə l	Dutch
^termiet$	t ɛ r m iː t	Dutch
^teruggeven$	t ə r ʏ ɣ eː v ə	Dutch
^terugkomen$	t ə r ʏ x k oː m ə	Dutch
^testikels$	t ɛ s t iː k ə l s	Dutch
^thee$	t eː	Dutch
^tien$	t iː n	Dutch
^tijd$	t ɛi t	Dutch
^timmerman$	t ɪ m ə r m ɑ n	Dutch
^tin$	t ɪ n	Dutch
^toegeven$	t uː ɣ eː v ə	Dutch
^toekan$	t uː k ɑ n	Dutch
^toespraak$	t uː s p r aː k	Dutch
^toestaan$	t uː s t aː n	Dutch
^toilet$	t ʋ ɑ l ɛ t	Dutch
^tonen$	t oː n ə	Dutch
^tong$	t ɔ ŋ	Dutch
^top$	t ɔ p	Dutch
^toren$	t oː r ə	Dutch
^touw$	t ɑu ʋ	Dutch
^tovenaar$	t oː v ə n aː r	Dutch
^toverij$	t oː v ə r ɛi	Dutch
^traag$	t r aː x	Dutch
^traan$	t r aː n	Dutch
^trachten$	t r ɑ x t ə	Dutch
^trappen$	t r ɑ p ə	Dutch
^trein$	t r ɛi n	Dutch
^trekken$	t r ɛ k ə	Dutch
^trog$	t r ɔ x	Dutch
^trom$	t r ɔ m	Dutch
^trommel$	t r ɔ m ə l	Dutch
^trompet$	t r ɔ m p ɛ t	Dutch
^trots$	t r ɔ t s	Dutch
^trouw$	t r ɑu ʋ	Dutch
^trouwen$	t r ɑu ʋ ə	Dutch
^tuin$	t œy n	Dutch
^tuinhuis$	t œy n h œy s	Dutch
^twaalf$	t ʋ aː l f	Dutch
^twee$	t ʋ eː	Dutch
^tweede$	t ʋ eː d ə	Dutch
^tweeling$	t ʋ eː l ɪ ŋ	Dutch
^tweemaal$	t ʋ eː m aː l	Dutch
^twijfel$	t ʋ ɛi f ə l	Dutch
^twintig$	t ʋ ɪ n t ə x	Dutch
^uier$	œy j ə r	Dutch
^uil$	œy l	Dutch
^uithollen$	œy t h ɔ l ə	Dutch
^uitleggen$	œy t l ɛ ɣ ə	Dutch
^uitnodigen$	œy t n oː d ə ɣ ə	Dutch
^uitpersen$	œy t p ɛ r s ə	Dutch
^uitrekken$	œy t r ɛ k ə	Dutch
^uitspreiden$	œy t s p r ɛi d ə	Dutch
^uur$	yː r	Dutch
^vaak$	v aː k	Dutch
^vadem$	v aː d ə m	Dutch
^vader$	v aː d ə r	Dutch
^vaderland$	v aː d ə r l ɑ n t	Dutch
^vagina$	v aː ɣ iː n aː	Dutch
^val$	v ɑ l	Dutch
^vallei$	v ɑ l ɛi	Dutch
^vallen$	v ɑ l ə	Dutch
^vandaag$	v ɑ n d aː x	Dutch
^vangen$	v ɑ ŋ ə	Dutch
^varken$	v ɑ r k ə	Dutch
^vasteland$	v ɑ s t ə l ɑ n t	Dutch
^vasten$	v ɑ s t ə	Dutch
^vasthouden$	v ɑ s t h ɑu d ə	Dutch
^vastpakken$	v ɑ s t p ɑ k ə	Dutch
^vechten$	v ɛ x t ə	Dutch
^vee$	v eː	Dutch
^veel$	v eː l	Dutch
^veer$	v eː r	Dutch
^vegen$	v eː ɣ ə	Dutch
^veld$	v ɛ l t	Dutch
^vellen$	v ɛ l ə	Dutch
^venster$	v ɛ n s t ə r	Dutch
^ver$	v ɛ r	Dutch
^veranderen$	v ə r ɑ n d ə r ə	Dutch
^verbaasd$	v ə r b aː s t	Dutch
^verbergen$	v ə r b ɛ r ɣ ə	Dutch
^verbieden$	v ə r b iː d ə	Dutch
^verbinden$	v ə r b ɪ n d ə	Dutch
^verbranden$	v ə r b r ɑ n d ə	Dutch
^verdachte$	v ə r d ɑ x t ə	Dutch
^verdedigen$	v ə r d eː d ə ɣ ə	Dutch
^verdelen$	v ə r d eː l ə	Dutch
^verdienen$	v ə r d iː n ə	Dutch
^verdriet$	v ə r d r iː t	Dutch
^verdrinken$	v ə r d r ɪ ŋ k ə	Dutch
^verdwijnen$	v ə r d ʋ ɛi n ə	Dutch
^vereren$	v ə r eː r ə	Dutch
^verf$	v ɛ r f	Dutch
^vergaderhuis$	v ə r ɣ aː d ə r h œy s	Dutch
^vergeten$	v ə r ɣ eː t ə	Dutch
^vergeven$	v ə r ɣ eː v ə	Dutch
^verhinderen$	v ə r h ɪ n d ə r ə	Dutch
^verkeerd$	v ə r k eː r t	Dutch
^verkiezing$	v ə r k iː z ɪ ŋ	Dutch
^verkopen$	v ɛ r k oː p ə	Dutch
^verkoudheid$	v ə r k ɑu t h ɛi t	Dutch
^verlangen$	v ə r l ɑ ŋ ə	Dutch
^verliezen$	v ə r l iː z ə	Dutch
^vermoeden$	v ə r m uː d ə	Dutch
^vernietigen$	v ə r n iː t ə ɣ ə	Dutch
^veroordelen$	v ə r oː r d eː l ə	Dutch
^verpleegster$	v ə r p l eː x s t ə r	Dutch
^verraden$	v ə r aː d ə	Dutch
^verstand$	v ə r s t ɑ n t	Dutch
^verstandig$	v ə r s t ɑ n d ə x	Dutch
^verstikken$	v ə r s t ɪ k ə	Dutch
^verstoppen$	v ə r s t ɔ p ə	Dutch
^vertellen$	v ə r t ɛ l ə	Dutch
^verven$	v ɛ r v ə	Dutch
^vervloeken$	v ə r v l uː k ə	Dutch
^verwanten$	v ə r ʋ ɑ n t ə	Dutch
^verwekken$	v ə r ʋ ɛ k ə	Dutch
^verwonden$	v ə r ʋ ɔ n d ə	Dutch
^verzamelen$	v ə r z aː m ə l ə	Dutch
^verzoeken$	v ə r z uː k ə	Dutch
^vesting$	v ɛ s t ɪ ŋ	Dutch
^vet$	v ɛ t	Dutch
^veulen$	v øː l ə	Dutch
^vier$	v iː r	Dutch
^vierkant$	v iː r k ɑ n t	Dutch
^vijand$	v ɛi j ɑ n t	Dutch
^vijf$	v ɛi f	Dutch
^vijftien$	v ɛi f t iː n	Dutch
^vijg$	v ɛi x	Dutch
^vijzel$	v ɛi z ə l	Dutch
^villen$	v ɪ l ə	Dutch
^vilt$	v ɪ l t	Dutch
^vin$	v ɪ n	Dutch
^vinden$	v ɪ n d ə	Dutch
^vinger$	v ɪ ŋ ə r	Dutch
^vis$	v ɪ s	Dutch
^vishaak$	v ɪ s h aː k	Dutch
^vislijn$	v ɪ s l ɛi n	Dutch
